company_id,type,rule_id,text,confidence_pct
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ABB,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
ABB,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
ABB,pro,P6,Positive earnings per share indicate profitable operations.,75
ABB,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
ABB,pro,P10,A positive asset base provides capacity to support future business growth.,70
ABB,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
ABB,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
ADANIENSOL,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
ADANIENSOL,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIENSOL,pro,P6,Positive earnings per share indicate profitable operations.,75
ADANIENSOL,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENSOL,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
ADANIENSOL,pro,P10,A positive asset base provides capacity to support future business growth.,70
ADANIENSOL,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
ADANIENSOL,con,C5,Return on equity below 10% suggests weak capital efficiency.,80
ADANIENSOL,con,C8,Borrowings represent a high proportion of total assets and increase financial leverage risk.,82
ADANIENSOL,con,C11,Return on capital employed below 10% suggests the business is generating limited returns on invested capital.,85
ADANIENT,pro,P6,Positive earnings per share indicate profitable operations.,75
ADANIENT,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENT,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
ADANIENT,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
ADANIENT,pro,P10,A positive asset base provides capacity to support future business growth.,70
ADANIENT,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
ADANIENT,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
ADANIENT,con,C2,Negative free cash flow raises concern about cash generation quality.,85
ADANIGREEN,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIGREEN,pro,P6,Positive earnings per share indicate profitable operations.,75
ADANIGREEN,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIGREEN,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
ADANIGREEN,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
ADANIGREEN,pro,P10,A positive asset base provides capacity to support future business growth.,70
ADANIGREEN,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.38 is elevated and warrants monitoring.,90
ADANIGREEN,con,C2,Negative free cash flow raises concern about cash generation quality.,85
ADANIGREEN,con,C3,Interest coverage ratio below 1.5x indicates risk in meeting debt obligations.,90
ADANIGREEN,con,C8,Borrowings represent a high proportion of total assets and increase financial leverage risk.,82
ADANIPORTS,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
ADANIPORTS,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIPORTS,pro,P6,Positive earnings per share indicate profitable operations.,75
ADANIPORTS,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
ADANIPORTS,pro,P10,A positive asset base provides capacity to support future business growth.,70
ADANIPORTS,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
ADANIPORTS,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ADANIPOWER,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
ADANIPOWER,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIPOWER,pro,P6,Positive earnings per share indicate profitable operations.,75
ADANIPOWER,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPOWER,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
ADANIPOWER,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
ADANIPOWER,pro,P10,A positive asset base provides capacity to support future business growth.,70
ADANIPOWER,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
AMBUJACEM,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
AMBUJACEM,pro,P6,Positive earnings per share indicate profitable operations.,75
AMBUJACEM,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
AMBUJACEM,pro,P10,A positive asset base provides capacity to support future business growth.,70
